GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gitwrapped-backend,de.muenchen.gitwrapped.security,RequestResponseLoggingFilter.LoggingMode,21,0,0,0,4,0,1,0,1,0
gitwrapped-backend,de.muenchen.gitwrapped.security,RequestResponseLoggingFilter,110,0,9,0,22,0,11,0,6,0
gitwrapped-backend,de.muenchen.gitwrapped.security,AuthUtils,27,0,4,0,8,0,3,0,1,0
gitwrapped-backend,de.muenchen.gitwrapped.security,Authorities,7,0,0,0,2,0,1,0,1,0
gitwrapped-backend,de.muenchen.gitwrapped.theentity.dto,TheEntityRequestDTO,0,6,0,0,0,1,0,1,0,1
gitwrapped-backend,de.muenchen.gitwrapped.theentity.dto,TheEntityResponseDTO,0,9,0,0,0,1,0,1,0,1
gitwrapped-backend,de.muenchen.gitwrapped.theentity.dto,TheEntityMapperImpl,4,35,2,2,2,12,2,3,0,3
gitwrapped-backend,de.muenchen.gitwrapped.configuration.nfcconverter,NfcRequestFilter,4,91,1,3,1,21,1,6,0,5
gitwrapped-backend,de.muenchen.gitwrapped.configuration.nfcconverter,NfcHelper,0,149,1,5,0,38,1,14,0,12
gitwrapped-backend,de.muenchen.gitwrapped.configuration.nfcconverter,NfcServletInputStream,15,10,2,0,3,4,4,2,3,2
gitwrapped-backend,de.muenchen.gitwrapped.configuration.nfcconverter,NfcRequest,66,191,2,6,17,44,11,19,9,17
gitwrapped-backend,de.muenchen.gitwrapped.configuration.nfcconverter,NfcReader,39,42,0,2,15,13,6,5,6,4
gitwrapped-backend,de.muenchen.gitwrapped.configuration,JwtUserInfoAuthenticationConverter,15,0,0,0,4,0,2,0,2,0
gitwrapped-backend,de.muenchen.gitwrapped.configuration,NoSecurityConfiguration,0,45,0,0,0,10,0,4,0,4
gitwrapped-backend,de.muenchen.gitwrapped.configuration,CacheControlConfiguration,0,22,0,0,0,5,0,2,0,2
gitwrapped-backend,de.muenchen.gitwrapped.configuration,UnicodeConfiguration,0,38,0,0,0,10,0,3,0,3
gitwrapped-backend,de.muenchen.gitwrapped.configuration,CacheControlConfiguration.CacheControlFilter,0,19,1,1,0,6,1,2,0,2
gitwrapped-backend,de.muenchen.gitwrapped.configuration,SecurityConfiguration,79,0,0,0,14,0,5,0,5,0
gitwrapped-backend,de.muenchen.gitwrapped.configuration,ForwardedHeaderConfiguration,0,22,0,0,0,5,0,2,0,2
gitwrapped-backend,de.muenchen.gitwrapped.configuration,UserInfoAuthoritiesService,156,0,10,0,43,0,9,0,4,0
gitwrapped-backend,de.muenchen.gitwrapped.configuration,SecurityProperties,22,0,0,0,4,0,3,0,3,0
gitwrapped-backend,de.muenchen.gitwrapped.common,NotFoundException,0,5,0,0,0,2,0,1,0,1
gitwrapped-backend,de.muenchen.gitwrapped,GitWrappedBackendApplication,5,3,0,0,2,1,1,1,1,1
gitwrapped-backend,de.muenchen.gitwrapped.api.github,ApiRequests,45,0,0,0,18,0,2,0,2,0
gitwrapped-backend,de.muenchen.gitwrapped.theentity,TheEntityController,0,67,0,0,0,9,0,6,0,6
gitwrapped-backend,de.muenchen.gitwrapped.theentity,TheEntityService,0,86,0,0,0,18,0,8,0,8
